Sequencing_Well,State,Subanalysis,Legume.subfamily,Rosaceae.subfamily,Family,Tribe,Taxon in Tree,scientificName_Voucher,scientificNameAuthorship,Provider.acronym,Provider.identifier,UUID
FMN_P050_WD10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bolleana,Begonia bolleana,Urb. & Ekman,NY,1445116,2d2afe1f-9652-4bda-b9d1-492259a1ec75
FMN_P050_WD09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia brachypoda,Begonia brachypoda,O.E.Schulz,NY,1445127,2d23d6e7-96da-45c8-aeb8-4b9a072ae3c0
FMN_P041_WB12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia bracteosa,Begonia bracteosa,A.DC.,NY,2862132,2d920863-ad48-45d8-8736-93fb5724b75d
FMN_P007_WC01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia breedlovei,Begonia breedlovei,Burt-Utley,CAS,,41f8730e-76ab-4faa-a291-0f2688c4d717
FMN_P050_WF06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia buddleiifolia,Begonia buddleiifolia,A.DC.,NY,2826907,2d8e594b-cf34-467a-899d-e9892ea448ff
FMN_P007_WC07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia burbidgei,Begonia burbidgei,Stapf,CAS,,44cdef16-4f07-4914-8131-62f0a8cfbafc
KIB_P021_WB04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia carletonii,Begonia carletonii,Standl.,BRIT,Liesner 598,7387efec-6947-4aa6-a113-cfefb41f390e
FMN_P007_WA01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia caroliniifolia,Begonia caroliniifolia,Regel,CAS,,41f65fa6-35de-404f-904d-607202afe8f8
FMN_P037_WH05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia casiguranensis,Begonia casiguranensis,Quisumb. & Merr.,NY,3476664,a470fd8d-44de-454d-9b52-fc181366a09e
FMN_P004_WD06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cebadillensis,Begonia cebadillensis,Houghton ex L.B.Sm. & Schub.,CAS,549324,45da8d06-df4f-4ffb-8c74-86d797f6f20c
FMN_P041_WD07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia chaetocarpa,Begonia chaetocarpa,Kuntze,NY,3379997,2d80a9c1-e59a-4f40-b01a-3f4c48323348
FMN_P007_WE03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia chitoensis,Begonia chitoensis,Tang S.Liu & M.J.Lai,CAS,,44c980bd-0de5-4b3d-b16d-6ef043f78f60
FMN_P051_WC02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia clarkei,Begonia clarkei,Hook.f.,NY,3379969,2d5dd19a-ef6e-4ccb-90f2-2985970f7216
FMN_P004_WD09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia conchifolia,Begonia conchifolia,A.Dietr.,CAS,,45d7e3ba-48ef-4fc6-9797-29601b8ef85b
FMN_P051_WC06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia confinis,Begonia confinis,L.B.Sm. & Wassh.,NY,3379970,2d683c66-a2b3-4987-b2cb-1cbfeee045bb
FMN_P007_WD12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia convallariodora,Begonia convallariodora,C.DC.,CAS,,4458cf91-ce84-4dda-b1d8-998b3ee922c3
FMN_P050_WE10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia convolvulacea,Begonia convolvulacea,(Klotzsch) A.DC.,NY,194992,2e8ac20b-cfa5-4674-8a40-798b5887ff77
FMN_P040_WH06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cordifolia,Begonia cordifolia,(Wight) Thwaites,NY,3476634,a52656c6-8e07-4a6b-ae1a-4070032ee173
FMN_P007_WB06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia corredorana,Begonia corredorana,C.DC.,CAS,,4454a709-3fcf-4347-a664-3d759873084f
FMN_P050_WE07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cowellii,Begonia cowellii,Nash,NY,1445137,2d1d38d9-ad56-40c4-b6ee-569ce7a99d03
FMN_P004_WH06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cristobalensis,Begonia cristobalensis,Ziesenh.,CAS,11047,45d75c65-ac08-4baa-804d-2a74a06a2286
FMN_P041_WD05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cryptocarpa,Begonia cryptocarpa,L.B.Sm. & B.G.Schub.,NY,3379972,2d7c81af-a286-42d1-b4d0-a7d951b99108
FMN_P034_WB11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia cumingiana,Begonia cumingiana,(Klotzsch) A.DC.,NY,3476627,a84449f0-3ec9-43ab-b503-ca4ca2175b9e
FMN_P007_WA02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia decandra,Begonia decandra,Pav. ex A.DC.,CAS,,4468edde-9761-4327-9007-313c2e476b10
FMN_P041_WC02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia dentatiloba,Begonia dentatiloba,A.DC.,NY,3181038,2cdfa8fa-1d51-486b-bc94-acfd9a2130b9
FMN_P050_WE05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia dichotoma,Begonia dichotoma,Jacq.,NY,3379240,2e812a09-5e82-49e0-8046-1323f6f58416
FMN_P072_WA09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia diffusa,Begonia diffusa,L.B.Sm. & B.G.Schub.,NY,3379966,2cd4a3b8-0da3-4b7d-a11b-489b86af39ed
FMN_P074_WE07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia digitata,Begonia digitata,Raddi,NY,1198696,2cc50f89-00f0-4f54-bb17-ed016332d1bc
FMN_P073_WC11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia domingensis,Begonia domingensis,A.DC.,NY,1445166,2d1f4fe8-039b-47fe-8f9f-2ba54676a43c
FMN_P034_WB05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia elatostemmoides,Begonia elatostemmoides,Hook.f.,NY,3310467,2b9bd65c-cc34-430c-b7aa-35cbbad6bbea
FMN_P039_WB06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia erectotricha,Begonia erectotricha,Sosef,NY,3476614,2bc84365-f55d-4850-a4eb-221699a42498
FMN_P050_WG04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia euryphylla,Begonia euryphylla,L.B.Sm. ex S.F.Sm. & Wassh.,NY,821914,2c437801-3370-4460-8114-7487c4605695
FMN_P034_WB04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia everettii,Begonia everettii,Merr.,NY,3476699,a826aa09-c96e-4638-a46f-c48547b73d82
FMN_P050_WF12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia exilis,Begonia exilis,O.E.Schulz,NY,1445177,2d0cb91d-0ef7-42a3-ba43-a77ab69384c4
KIB_P022_WF10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia extranea,Begonia extranea,L.B.Sm. & B.G.Schub.,TEXAS,181496,02fd250d-7bd4-4aa5-a69a-4aaabcef97c6
FMN_P006_WH09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia falciloba,Begonia falciloba,Liebm.,CAS,10847,41eec4f3-0156-44b0-884d-c07a74116a9d
FMN_P004_WE08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia faustinoi,Begonia faustinoi,Burt-Utley & Utley,CAS,11046,45bcbb9a-dc95-4665-a482-c3ec7a9ad410
FMN_P039_WB09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fenicis,Begonia fenicis,Merr.,NY,3476643,a56e581d-63a3-4666-867f-dc1ddb42de20
FMN_P004_WH12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia ferruginea,Begonia ferruginea,L.f.,CAS,,4434857e-9ce2-4f15-9a72-10236dda673a
FMN_P050_WC03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fiebrigii,Begonia fiebrigii,C.DC.,NY,3379993,2ce80986-63f5-4aef-879d-30bd3fc04686
FMN_P004_WE07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fimbriata,Begonia fimbriata,Liebm.,CAS,513431,45ba760a-3bab-4289-a079-c7092f2fedc6
FMN_P004_WD08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fimbristipula,Begonia fimbristipula,Hance,CAS,,45b54284-249c-4f26-9c8a-5332844d1b43
FMN_P004_WE09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia foliosa,Begonia foliosa,Kunth,CAS,,45b50af5-93ac-4695-a408-d1c93cbc3d9e
FMN_P004_WD10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia formosana,Begonia formosana,(Hayata) Masam.,CAS,,45aed67b-3c24-42f0-b88f-c204830f51a2
FMN_P004_WE05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia formosissima,Begonia formosissima,Sandwith,CAS,,442f8eea-d173-44ca-be60-c55fe380c5c6
FMN_P050_WE12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fuchsioides,Begonia fuchsioides,Hook.,NY,3379298,2e54b64d-13bf-4e20-a7f0-8889de041e58
FMN_P004_WE12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fusca,Begonia fusca,Liebm.,CAS,513478,45a8d5a2-4dd9-4c1f-a4d6-0455e5934cc0
FMN_P006_WF02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia fusialata,Begonia fusialata,Warb.,,OS0054927,a870f4c2-6453-40c2-ba8f-05a0be7a9065
FMN_P077_WC06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia gamolepis,Begonia gamolepis,L.B.Sm. & B.G.Schub.,NY,3379991,2ccfad4b-8124-4512-a16c-0f87fdc99f34
FMN_P012_WC03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia geraniifolia,Begonia geraniifolia,Hook.,,OS0054913,a9122bdf-cad2-449b-9ea7-f0105b98642a
FMN_P012_WC05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia glabra,Begonia glabra,Aubl.,,OS0054915,a43e10cd-6106-44ff-a1ef-fba293a030c0
FMN_P050_WC01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia goegoensis,Begonia goegoensis,N.E.Br.,NY,1445207,2cf5dfab-f821-4394-a798-b5515fd3da67
FMN_P005_WA10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia gracilis,Begonia gracilis,Kunth,CAS,10794,41d71157-5059-4710-a543-636aff106ad2
FMN_P052_WG06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia grisea,Begonia grisea,A.DC.,NY,877923,2c447196-f6ee-4f00-bab0-060b2832c04f
FMN_P007_WC08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia guaduensis,Begonia guaduensis,Kunth,CAS,,4417c96d-e930-469b-9668-8a6a5b159d68
FMN_P004_WB10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia gueritziana,Begonia gueritziana,Gibbs,CAS,,46726822-4cd3-4513-a391-a5882e0affd0
FMN_P004_WF02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia gungshanensis,Begonia gungshanensis,C.Y.Wu,CAS,511034,45a2a088-f772-4831-b70d-6d2040cb3fa3
FMN_P050_WE01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia harlingii,Begonia harlingii,L.B.Sm. & Wassh.,NY,3379964,2c3c9474-0f47-4eec-9a68-d5ea3449e6e2
FMN_P004_WB11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia henryi,Begonia henryi,Hemsl.,CAS,,4667fc0e-fb81-456d-a910-963609a9af27
FMN_P004_WF03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia heracleifolia,Begonia heracleifolia,Cham. & Schltdl.,CAS,549476,458dea94-94a6-4908-aca0-974a08759595
KIB_P021_WB09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia hirta,Begonia hirta,(Klotzsch) L.B.Sm. & B.G.Schub.,BRIT,Vasquez 29138,727bb4ab-eb73-4e4c-add4-08caa58866fc
FMN_P051_WB02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia hispida,Begonia hispida,Schott ex A.DC.,NY,3235948,2c23e6e5-6eb3-4a1e-86f0-227faae9b3ff
FMN_P051_WB05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia hookeriana,Begonia hookeriana,Gardner,NY,1182145,2c1ccb57-0ad3-4865-809e-338e63cb9b8d
FMN_P004_WF04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia humilis,Begonia humilis,Aiton,CAS,,45766c14-bac3-457f-bde9-dece1d8d598e
FMN_P007_WC09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia ignea,Begonia ignea,(Klotzsch) Warsz. ex A.DC.,CAS,,44116e1a-6f7a-4234-aa62-76fb536f9f84
FMN_P012_WB11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia incarnata,Begonia incarnata,Link & Otto,,OS0054919,a83240d1-3446-4070-8ef6-f68bcbada38b
FMN_P051_WB07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia integerrima,Begonia integerrima,Spreng.,NY,3075392,2c171f29-39b5-464a-944f-3b76d2181494
