"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"l0","1|1|1_1|2|1",-2.087524e+00, 1.644943e+01,-2.889053e-01,-0.024461259, 0.367843556,-0.056427705,-2.0630629202,15.7246194349,-0.1869240887
"all",250,"l0","1|1|1_1|2|1",-1.379057e+00, 1.128823e+01,-1.084044e-01,-0.024461259, 0.367843556,-0.056427705,-1.3545958714,10.3838778248,-0.0429432706
"all",500,"l0","1|1|1_1|2|1",-8.603302e-01, 6.510557e+00,-8.996509e-02,-0.024461259, 0.367843556,-0.056427705,-0.8358689863, 5.8511497837,-0.0414533720
"all",100,"l1","1|1|1_1|2|1",-2.924012e+00, 1.864731e+01,-6.261669e-01,-0.024461259, 0.367843556,-0.056427705,-2.8995509400,17.8685614652,-0.5323623815
"all",250,"l1","1|1|1_1|2|1",-1.624131e+00, 1.147906e+01,-1.745901e-01,-0.024461259, 0.367843556,-0.056427705,-1.5996700369,10.6658607811,-0.1688573066
"all",500,"l1","1|1|1_1|2|1",-9.418264e-01, 6.868483e+00,-1.257774e-01,-0.024461259, 0.367843556,-0.056427705,-0.9173651182, 6.1716974511,-0.0770620105
"all",100,"l2","1|1|1_1|2|1",-3.391323e+00, 1.812005e+01,-9.408384e-01,-0.024461259, 0.367843556,-0.056427705,-3.3668620735,17.5510786419,-0.9874508249
"all",250,"l2","1|1|1_1|2|1",-2.044313e+00, 1.226415e+01,-4.166267e-01,-0.024461259, 0.367843556,-0.056427705,-2.0198521466,11.4662689036,-0.4192418396
"all",500,"l2","1|1|1_1|2|1",-1.187919e+00, 7.739562e+00,-2.481046e-01,-0.024461259, 0.367843556,-0.056427705,-1.1634573228, 7.0088635282,-0.2012493046
"all",100,"er","1|1|1_2|1|1",-1.928523e+00, 1.674419e+01,-9.423615e-02, 0.011124718, 0.418598654, 0.006163406,-1.9396477372,15.7987494734,-0.1249873254
"all",250,"er","1|1|1_2|1|1",-1.168934e+00, 1.037331e+01, 2.468602e-02, 0.011124718, 0.418598654, 0.006163406,-1.1800591633, 9.4847594362, 0.0335156798
"all",500,"er","1|1|1_2|1|1",-5.666946e-01, 4.770142e+00, 1.270914e-02, 0.011124718, 0.418598654, 0.006163406,-0.5778193489, 4.2329432691,-0.0435409029
"all",100,"l0","1|1|1_2|1|1",-1.962158e+00, 1.699256e+01,-1.133185e-01, 0.011124718, 0.418598654, 0.006163406,-1.9732829926,16.0714833282,-0.1318787492
"all",250,"l0","1|1|1_2|1|1",-1.177625e+00, 1.073857e+01, 3.577447e-02, 0.011124718, 0.418598654, 0.006163406,-1.1887499064, 9.7791629600, 0.0329129928
"all",500,"l0","1|1|1_2|1|1",-5.683680e-01, 4.969723e+00, 1.314868e-02, 0.011124718, 0.418598654, 0.006163406,-0.5794927555, 4.4319030043,-0.0420169537
"all",100,"l1","1|1|1_2|1|1",-2.718295e+00, 1.871472e+01,-4.458303e-01, 0.011124718, 0.418598654, 0.006163406,-2.7294196629,17.9231037794,-0.4562941965
"all",250,"l1","1|1|1_2|1|1",-1.478729e+00, 1.104596e+01,-1.048131e-01, 0.011124718, 0.418598654, 0.006163406,-1.4898537862,10.1416279221,-0.0885638401
"all",500,"l1","1|1|1_2|1|1",-6.497779e-01, 5.070668e+00,-3.583309e-02, 0.011124718, 0.418598654, 0.006163406,-0.6609026583, 4.5202559364,-0.0863009796
"all",100,"l2","1|1|1_2|1|1",-3.310799e+00, 1.879511e+01,-7.931287e-01, 0.011124718, 0.418598654, 0.006163406,-3.3219238139,18.4007639744,-0.8939021386
"all",250,"l2","1|1|1_2|1|1",-1.807946e+00, 1.113605e+01,-3.571713e-01, 0.011124718, 0.418598654, 0.006163406,-1.8190703901,10.4720077800,-0.3633217054
"all",500,"l2","1|1|1_2|1|1",-8.869855e-01, 5.854461e+00,-1.787863e-01, 0.011124718, 0.418598654, 0.006163406,-0.8981101911, 5.3203057698,-0.2250355562
"all",100,"er","1|1|2_1|1|1",-1.740122e+00, 1.687223e+01,-5.045510e-02, 0.020486394, 0.317009768,-0.003561520,-1.7606088888,16.1706855979,-0.0231849234
"all",250,"er","1|1|2_1|1|1",-1.178176e+00, 1.007172e+01,-4.598858e-03, 0.020486394, 0.317009768,-0.003561520,-1.1986627359, 9.4275462546,-0.0443738842
"all",500,"er","1|1|2_1|1|1",-4.932868e-01, 4.812830e+00, 3.784358e-02, 0.020486394, 0.317009768,-0.003561520,-0.5137732137, 4.2712680091, 0.0032926736
"all",100,"l0","1|1|2_1|1|1",-1.690498e+00, 1.693955e+01,-4.677422e-02, 0.020486394, 0.317009768,-0.003561520,-1.7109843558,16.2243370152,-0.0229458055
"all",250,"l0","1|1|2_1|1|1",-1.203977e+00, 1.007276e+01,-2.826664e-02, 0.020486394, 0.317009768,-0.003561520,-1.2244634903, 9.4940723790,-0.0498497385
"all",500,"l0","1|1|2_1|1|1",-4.724300e-01, 4.670012e+00, 5.163567e-02, 0.020486394, 0.317009768,-0.003561520,-0.4929163742, 4.1414794562, 0.0056885400
"all",100,"l1","1|1|2_1|1|1",-2.700011e+00, 1.870182e+01,-4.395810e-01, 0.020486394, 0.317009768,-0.003561520,-2.7204974435,18.0351800533,-0.4440148028
"all",250,"l1","1|1|2_1|1|1",-1.549519e+00, 1.113487e+01,-1.472924e-01, 0.020486394, 0.317009768,-0.003561520,-1.5700050819,10.6562823532,-0.1476868151
"all",500,"l1","1|1|2_1|1|1",-5.714245e-01, 4.936710e+00,-8.415527e-03, 0.020486394, 0.317009768,-0.003561520,-0.5919109375, 4.3785812086,-0.0346514825
